release	have	want
26525645	0	0
8055872	1	0
10870265	200	29
6811153	205	242
9827641	14	0
14721790	73	1
22840214	1	0
23885210	142	94
33846450	3	2
19333816	1	1
13511026	5	4
12441742	13	1
21371326	1	0
4706849	36	38
6633398	13	26
23386865	1	0
8523838	148	27
4859861	7	2
5959248	75	1
9625047	69	30
13000506	5	3
6109727	29	3
10739676	2	0
17463187	0	1
21447535	1	0
15926012	3	2
9841594	52	1
7043198	5	2
21261367	4	3
13713000	1	0
16225615	2	0
16389996	1	1
12316446	1	38
5918149	10	5
21825430	11	10
10159209	1	0
8707078	2	19
35298475	1	0
12707521	36	22
16138255	1	0
7327798	273	77
15398010	7	8
15354610	7	1
11142571	29	43
10248210	12	3
8524104	103	39
11636642	40	5
15546052	2	2
28276798	0	0
15348255	13	0
13326782	5	13
15588903	27	8
6493793	17	2
35358895	0	0
15066978	7	3
9449523	3	21
17233765	1	7
6859337	1	0
34520356	1	0
35445400	1	0
15442369	0	0
4975404	9	4
14628756	0	0
22986989	3	0
24104516	1	2
20400187	10	14
13955471	0	3
31064123	43	15
13980992	6	5
8331822	0	0
9244005	4	0
11398331	26	11
11495137	0	1
13483262	26	28
14151882	0	0
8301131	9	6
13297051	55	12
24080471	2	0
4905354	16	4
10058207	7	22
23509769	6	0
5951429	49	3
10954562	26	52
10073093	41	40
15509823	0	7
7232269	1	0
6381596	4	4
6700226	17	5
10572656	14	35
14246997	6	0
11147388	1	0
7213945	0	1
21332389	2	0
31065422	0	0
11941693	3	10
24494039	0	8
11198537	2	6
17204527	16	6
34990118	1	0
8733330	15	29
5054025	11	64
15644918	5	11
15925507	37	244
6308472	2	21
17126586	2	0
6434079	75	21
6602542	5	1
15591229	87	34
18355054	9	13
30023800	0	0
8248994	20	20
16504464	4	61
22024009	3	7
7171895	4	11
19945699	4	6
31782743	0	1
23816885	0	0
11350946	64	180
28131256	0	0
34769363	1	1
10591296	14	4
15940583	2	0
14834495	1	0
24842756	6	69
8772916	123	11
25191742	7	1
28788817	148	26
7775197	5	20
29229787	2	24
28118242	1	0
4933557	3	0
14835367	0	0
8434494	0	0
34455952	0	0
6370268	17	34
4700580	25	6
9023577	21	5
10644769	1	0
34724895	1	5
13822664	0	0
28278691	11	3
7647385	0	0
31766024	1	0
11127629	6	7
5938666	4	7
6255917	2	2
7909575	38	23
11884094	2	0
26161613	10	6
27901350	0	0
10209948	11	8
5902209	6	2
11597694	35	48
12270215	14	1
32077098	2	0
8595356	24	12
16236941	90	11
33331098	0	1
32308017	11	3
13207929	23	5
32766249	1	0
34371124	0	0
32766735	2	0
9993344	2	2
15025427	4	2
5388308	34	27
13373464	6	0
10064388	22	15
10660308	6	1
8559073	3	22
15868744	1	9
10907779	5	0
21591589	9	4
9162930	0	1
21447745	2	2
21223006	0	0
9499082	30	169
11450756	12	1
14379660	1	0
28856125	6	0
6916759	325	61
10415230	33	7
8843856	1	4
9998404	6	0
6713272	43	73
7537926	6	8
13422208	12	13
15131588	4	0
10999650	3	3
25630051	0	0
5408295	12	3
15920767	23	4
5938017	14	2
21905944	2	4
8911718	12	2
11142143	6	24
9218449	3	3
16926135	0	1
13032696	2	13
31080974	104	32
8841305	3	10
9018889	11	8
15998771	1	0
16097102	1	0
25139638	1	0
4881498	39	23
15122612	1	0
21198142	21	4
10148547	7	0
6161464	28	64
20398687	3	0
12425257	5	0
31377468	1	1
10960650	1	0
14864375	1	1
12368545	4	2
6873898	19	75
14563280	9	6
16819323	0	1
5859366	1	0
15446713	3	1
14862867	7	1
15834956	2	1
18894478	6	7
20325001	18	3
21009838	0	0
30370004	1	0
11248097	7	9
31377031	3	6
8955628	30	29
32342937	1	2
27639378	1	3
15395650	6	4
35097350	0	1
7371590	3	9
34150903	3	0
20566402	62	9
5788682	13	1
5517749	10	26
7059701	4	1
8188583	94	6
15038773	3	1
35515927	2	3
9458700	1	0
9738972	7	2
8094400	18	20
14137706	1	15
19160293	7	9
11088356	8	33
34460341	1	2
13084364	31	0
13459500	3	2
14033325	0	0
14621722	4	5
17397307	5	17
9299888	6	15
13840877	23	119
5613758	45	16
11464128	4	14
34289500	0	0
11214020	35	29
12516004	0	0
15081316	0	5
5089647	39	60
15559972	0	0
23993981	7	1
31142093	4	4
7618292	8	3
5493217	58	8
13750692	14	8
25452529	1	1
19061932	5	1
21528001	22	41
35516200	0	0
7718494	1	2
5239826	10	48
4797576	869	136
5248856	16	6
15252359	1	1
13514181	5	0
11286478	0	7
12818766	14	5
11317720	3	1
6926928	184	160
6960235	298	183
6631880	1	2
5543662	19	98
6459638	18	5
12903264	5	3
12999622	0	0
13023387	1	2
15628062	1	1
18771466	1	2
25632946	0	1
27769449	1	0
34227853	0	0
30197204	2	4
24051716	4	8
23036126	2	1
11427238	0	0
5929382	15	9
10839727	1	0
22966136	6	1
7098273	12	8
10107719	19	1
22240198	1	0
9239383	12	1
12347624	3	3
25954615	19	10
25711861	1	3
5291692	1	0
15995523	1	0
14822698	5	23
12421033	4	7
7942298	6	4
8424152	3	0
23096903	0	1
8440240	5	12
6660118	3	7
12866446	3	1
28543078	3	1
9006654	11	7
12663637	2	11
5705167	46	7
8753916	32	218
26340674	4	3
11918450	0	1
12263276	1	2
7334987	6	44
5469843	2	0
15579721	1	0
5055314	69	16
29712220	0	0
33396374	0	0
20596510	71	15
4984035	4	2
5958865	29	271
31123943	0	0
19609360	0	2
10134250	45	1
8483563	17	4
24558551	4	1
15533247	2	0
13238860	0	4
29338897	2	2
14652984	16	7
5159068	639	484
30025909	6	1
5052668	1	1
14410171	0	5
26581877	1	0
11321103	1	3
11776878	3	8
15061436	0	0
34405519	1	0
13390805	5	2
11372717	5	5
11511605	3	2
20179450	9	1
13130991	3	1
22983452	99	32
6992761	97	406
11505586	4	4
12328331	1	0
25368400	6	1
28973179	3	0
5516583	4	6
32379090	1	0
29627638	0	1
13336729	0	4
31347355	2	0
4865865	35	18
5714320	12	11
17408935	31	19
5259097	27	56
25028044	1	1
9253764	7	3
15581199	7	10
27640017	5	4
31262116	2	0
20594764	1	4
14745438	0	0
12518177	13	4
33562242	1	0
12259249	0	0
32262006	3	2
22322737	2	3
19823077	6	3
18147118	6	0
24759731	4	19
9490473	16	2
23545829	2	4
6250794	87	4
18426361	16	4
28538980	15	3
9235663	1	1
30495349	1	0
11559862	9	5
12624787	9	1
25409794	16	5
30421478	1	1
11656282	19	22
26703674	0	0
9650351	1	0
33030249	16	4
18834661	19	3
5016914	2	0
32154441	33	12
8055451	22	10
12752220	13	4
33064176	13	3
6208704	35	9
5295844	28	5
8565851	5	7
10230558	16	93
10789263	1	8
12485224	21	5
13654939	3	3
15097591	3	1
18696943	1	0
20930674	0	0
30379760	1	0
5387265	0	0
22503833	4	2
12787129	21	15
13729147	4	2
5153346	53	17
8990407	6	4
13505028	15	47
10941555	6	18
5244202	31	18
6040507	5	20
5823104	67	20
8923786	3	1
25163065	1	0
8313537	2	3
5369758	52	33
7982782	5	19
14341401	101	46
15764406	17	10
7565412	1	0
16281755	89	5
5489762	107	17
6876302	2	3
13041739	28	14
10841341	101	177
19832632	2	1
6286971	1	0
13729807	13	2
18318652	65	43
10831891	3	0
18026227	0	1
5158074	2	3
13455475	0	4
9266308	4	1
16301101	1	1
31470512	0	0
9733805	3	0
7530711	20	10
8164906	2	1
20417008	0	0
5402630	7	10
8638856	92	5
9238997	33	10
14005617	3	1
13108523	2	3
16734027	5	0
26988345	1	1
33473834	14	0
13651387	7	12
5225263	18	1
6025863	105	73
7900007	1	1
6615179	47	32
12463857	5	1
15223307	7	87
9537842	0	4
15963595	2	6
20360041	96	12
6723243	3	12
30423290	0	1
16535061	2	8
24306548	0	0
33006579	3	0
5037551	49	4
5892751	5	1
12444930	1	1
15632089	8	3
5597242	14	4
8137257	36	16
8442174	9	6
11070797	0	8
5640421	18	23
12632094	3	0
25453735	72	63
14230716	4	8
6076054	134	47
21009928	2	0
6416663	0	1
8613819	6	23
27708867	1	1
9424267	4	3
34591438	1	0
13036156	9	8
5783241	77	18
5311183	12	2
11387694	73	49
22360258	1	0
25944454	2	0
15689384	0	0
33576990	1	0
9368505	16	35
14712197	3	2
33490283	0	0
8925712	5	13
27985956	5	5
7317609	0	1
31238992	2	23
7961950	0	0
22956236	27	4
19715854	5	2
7454188	10	6
18844558	2	0
11408277	16	0
27926187	0	0
7420075	38	13
23676038	0	1
14999881	4	0
26014531	1	2
27520479	1	0
9769272	4	9
14948935	2	8
27714462	4	2
34135978	35	17
8373368	3	26
14901842	7	4
6673736	1	5
35067314	2	1
25086229	29	8
23061587	20	14
10806104	5	6
13539334	16	1
31244365	0	0
9336378	53	1
8614318	35	51
23784767	8	1
34687323	1	9
17806453	18	1
6014349	5	1
26996529	0	0
9391774	63	28
29814796	0	0
12184418	57	39
9781823	1	2
11301077	4	2
20693926	1	0
8187645	90	38
24441299	4	1
30698488	4	1
9969893	4	0
14364723	14	3
18959593	5	0
21369349	9	10
25992559	0	0
19307620	7	0
14682973	14	3
9989191	2	3
10220132	0	0
33168972	2	3
6085575	0	0
11892832	4	3
5561323	5	1
6158327	15	13
12158672	59	22
10340800	17	17
6124602	11	2
14148872	7	14
5235154	1	0
14584054	8	10
26909927	130	52
27894024	16	9
32572194	1	0
24390734	250	19
9369818	0	2
28928257	0	0
27937668	5	1
9478989	10	8
12062977	11	5
15144950	16	2
28553725	1	0
18494833	1	4
18892765	30	3
17327668	5	0
12797741	2	0
5297639	6	6
4822181	33	39
25085584	7	2
7627135	6	4
11297461	1	2
9007198	0	1
8815458	4	3
34776407	43	12
17963749	22	23
7912110	12	2
24535916	23	3
8255044	3	1
9527762	18	4
30540466	5	3
12690769	164	27
16556796	2	0
6393812	6	86
11871881	16	3
24296618	5	7
5817651	8	23
33431858	1	0
5312779	0	1
6505177	56	59
6660201	6	10
11360358	88	77
8687118	310	60
6693595	0	0
4940478	3	2
8926620	95	64
13136799	0	3
13475230	3	0
15616435	0	0
24066866	2	0
10692151	4	1
14156735	1	0
5752616	1	3
33939249	12	0
25779334	3	1
6997701	3	0
6805180	7	1
5408320	3	12
25927906	6	0
15435485	2	1
15255007	4	6
10828801	0	1
13975681	2	0
22389451	28	29
9938545	14	14
24973996	2	2
5803164	2	0
8556996	5	1
11884576	10	25
6193859	4	0
8309468	8	1
13408679	3	0
5607101	20	32
25220080	14	0
32838321	1	2
34531831	1	2
9499423	5	12
10311860	10	136
12436801	28	2
12540897	5	0
19668934	16	1
11595046	0	0
10438518	17	31
15583539	6	3
20682364	2	0
29080429	10	8
6331872	2	2
15528382	1	11
10416229	1	0
24433082	4	12
31010515	8	6
8131058	70	4
6288704	4	0
5558411	16	10
24250115	1	0
15533065	28	31
14521675	1	1
10358685	10	5
20189935	1	0
4969535	8	69
14213332	1	1
23644730	0	0
28064544	2	0
6022612	7	3
14777843	8	4
35316961	20	2
21140350	1	1
25231900	1	3
32375247	1	0
18747151	3	2
20584363	1	0
20585335	8	14
26810114	2	0
34105333	0	0
6884937	2	0
14394918	8	1
24438458	1	4
11460119	4	69
15200552	0	0
15297673	22	22
13989783	3	20
11355971	767	991
15472938	4	2
6553941	12	19
13408175	0	0
4892191	39	8
14642780	2	1
26844149	4	2
5465179	8	2
5077651	3	1
15984268	0	1
8060431	5	121
9199045	5	184
12472167	0	0
18050467	2	1
10655765	28	9
8401954	35	15
29188837	0	0
8379086	35	24
23672801	2	0
7107863	12	0
34373311	0	0
4749901	49	7
13258959	12	15
13751764	3	4
28660024	1	0
9354895	81	18
6419537	5	1
8243453	26	11
15129799	1	1
20538145	4	0
19383985	2	0
7044519	21	49
30576877	10	20
12613647	1	1
32240901	0	0
18184279	3	2
34288936	1	0
6223933	7	7
29847730	1	4
34740012	1	2
22814258	1	2
31195093	1	6
6547067	66	2
8374448	91	12
8337138	24	4
14598253	2	0
10583542	8	2
10068375	6	0
11476479	84	87
8605838	79	5
14743066	1	24
9900576	1	0
15135926	3	1
23752121	1	1
13217195	102	5
10651644	3	2
8341370	16	26
13772487	1	1
6414001	41	16
17979049	5	2
29999161	8	2
8826592	50	59
13029277	10	2
12715442	22	5
4847424	142	164
7650812	4	4
9479573	82	51
12107222	166	24
7681365	1	1
33681120	1	0
6113125	41	9
12551968	3	0
35229298	0	0
28820950	280	45
11624440	1	1
9053413	36	6
25636204	3	0
11799691	4	107
22273543	0	0
11774603	1	0
5700445	155	6
13058722	11	195
12701642	29	8
14124439	13	83
23048225	1	4
27694419	1	3
19506133	7	1
30926463	29	33
17561242	7	1
20988019	3	28
34893467	1	4
6366158	57	19
8225638	3	13
10223198	16	0
16210370	4	5
13068464	3	2
10075717	44	4
20283229	19	9
23839253	3	1
6472505	16	18
20768953	1	1
23083634	1	0
5113176	7	11
9056298	20	73
14535911	2	6
23752325	2	5
10620674	10	5
4694124	1	1
14563191	4	2
28092517	1	0
15043670	2	8
5558360	176	19
8964822	21	4
11203052	10	5
14458148	2	0
11925071	2	2
11478040	1	0
14431882	1	3
12949803	4	3
18013414	21	4
6800881	30	14
27383754	0	1
8076482	1	2
4676821	8	2
14353729	4	5
5011926	50	14
8118420	2	0
17877313	2	4
18761647	0	19
4846687	1	3
16052796	1	7
5702825	19	24
20974120	0	0
17343364	7	6
14744851	1	0
18076084	6	5
11074502	0	1
16602588	2	0
8402635	18	18
14301108	7	5
24546494	0	0
29908819	39	2
18658261	4	3
6363946	746	276
31817705	0	1
30862200	1	0
29650888	1	0
31862411	0	0
30690364	3	6
16356702	8	3
6323785	17	14
6236326	60	3
7847312	2	1
10174191	10	1
6620419	14	3
10892928	7	2
8278257	1	7
7597517	30	9
12479268	4	1
4946777	120	3
8825460	16	0
5265664	17	14
11007398	18	2
6331046	2	2
5025630	52	13
5808361	5	0
11227142	8	6
14914327	4	4
6184763	50	37
29137306	0	3
15875737	2	7
8772963	13	5
33529677	1	0
7460087	2	3
7906591	11	7
25632205	0	2
5945260	3	1
32824953	5	1
10115799	18	5
6714072	16	14
8631786	29	4
14974916	1	2
35520343	21	14
5177070	2	2
20791402	1	2
7782135	1	0
10487748	2	2
25732270	192	62
5793932	29	5
10831986	13	23
11565617	6	5
9931545	22	35
12743033	7	5
5679853	92	8
13710030	1	0
21412966	1	1
33963072	0	0
11787126	7	26
9870315	32	52
14479101	1	16
25142509	8	9
6142547	711	16
32745699	48	24
8135955	5	0
23642345	3	2
5828896	132	3
10405104	2	6
18234811	0	0
34234093	0	0
16302914	48	97
6565493	13	31
12538662	25	4
34286269	3	0
12588815	4	8
27896493	1	1
6572464	8	1
7216322	16	7
16111096	19	72
14275549	1	0
14899208	22	20
28454974	0	0
17052963	5	7
20152906	5	2
21860341	2	2
16098646	1	1
7320946	61	24
13345845	107	93
20570269	1	3
22831151	9	3
4724628	22	418
13182395	2	4
7919477	13	4
10976910	6	10
5110899	137	119
12371826	20	2
26895461	4	0
23404796	1	23
13065671	0	1
29697871	40	8
24737066	1	0
8395683	38	4
12178331	2	1
25877461	4	10
31224016	0	0
26184836	3	0
29198137	0	0
15979080	6	1
24987967	0	0
8682862	19	2
10468276	3	2
28122598	11	2
7211583	5	1
8664731	5	2
26993940	1	0
33567507	2	1
5130269	50	29
24333593	119	15
11308895	0	0
29718196	0	0
7433064	4	1
14258998	112	17
27934704	6	1
16751235	0	0
14949270	5	2
12218791	3	2
30769917	1	1
5399466	152	514
5212829	131	12
10563953	9	2
14044558	1	3
14997391	0	0
21030241	3	13
11788316	2	3
8447056	1	0
32771262	3	0
7470595	9	22
25951876	0	0
33285927	1	4
11056015	0	0
17360758	0	3
24471536	3	3
14502402	1	4
25215760	12	2
27342924	1	0
9571781	4	2
32063853	1	0
5986850	27	7
32752776	29	3
19775371	2	2
16217853	5	0
33817710	0	1
25804435	1	2
29149666	3	1
6710333	0	0
12583963	407	487
28027548	11	3
13187564	5	46
7064788	34	30
12420006	8	7
15649784	2	5
12519949	0	0
10763304	13	35
5792419	9	92
13681923	7	1
5789924	2	1
16418643	36	52
14869333	3	1
13205853	4	2
11424525	34	91
17233348	0	0
14507007	8	0
11702132	8	3
4872535	27	7
19803961	8	73
6192947	45	2
5350675	24	9
7335822	20	19
33109653	0	0
25896064	0	0
35484721	0	0
12081939	1	1
5601730	16	4
25236577	45	8
8282000	2	1
12204152	13	5
23014043	3	4
15031826	4	0
23202881	1	4
27995871	1	0
30473606	4	1
18207346	5	1
30927033	5	21
14587608	0	1
25849192	4	1
8198060	110	35
15983970	1	0
13151774	16	28
27395754	1	1
11241631	3	3
16706694	23	19
7085439	11	0
6085606	17	4
29071093	1	1
5064003	125	141
10643730	5	6
27975810	2	5
8557000	3	1
11108504	18	17
9219870	4	4
4859309	13	4
27234309	2	0
9518749	14	10
34107406	1	0
20412493	1	4
28610926	5	10
17505601	5	21
7183663	30	12
4767042	47	74
12202848	6	1
15728767	5	0
15495198	12	7
4837705	10	47
27274824	6	0
15601451	126	149
35130167	0	1
32060772	0	0
19561039	2	1
10657872	4	8
28635595	1	1
26196638	1	13
13366649	4	0
13916071	4	7
21807394	1	3
32219832	0	0
11408216	1	0
9447798	8	1
12735211	9	11
13580250	1	6
33782763	1	0
23905379	29	15
13152798	1	3
10130171	5	0
12190993	1	0
6034047	40	16
19727887	0	1
16404015	0	0
11894215	2	0
26333462	11	25
11401494	7	1
16998738	0	0
11261980	4	2
10807444	29	6
13648062	15	5
5787268	23	52
20226175	3	9
34573750	41	30
12400667	13	11
9064192	79	2
25592458	5	1
7262046	41	2
33993999	2	0
23163197	2	0
6708046	1	1
10403495	1	1
24774728	0	0
27725394	0	0
10104933	4	1
7510527	576	127
11224165	31	35
15402390	0	0
15017661	1	0
8079514	6	4
16265219	2	0
14128651	4	12
14975855	0	0
20136061	4	0
11977033	3	0
4832577	13	11
19917775	217	26
23760536	4	0
14080317	2	15
12524984	0	0
16196122	5	2
27065262	1	3
28646557	1	3
10321456	23	142
12588840	4	6
9494345	56	3
10853910	19	3
9961897	0	1
13336545	7	8
20985520	1	0
12825819	0	2
23287346	40	11
8530016	19	17
7855769	10	6
15206191	9	0
13399228	1	3
6409542	4	20
26468540	2	19
12559938	1	0
14245842	29	17
5301070	44	7
24184466	4	2
5383919	24	20
6113303	4	3
12234663	13	3
22078111	45	9
15325882	0	0
8233611	12	1
25489219	1	0
26016733	3	0
11054008	32	7
6556136	0	3
9839994	16	15
16038547	230	247
32720760	2	0
24104084	2	0
19753333	2	1
6959901	450	205
22932179	0	0
9787778	7	5
14673015	20	12
15375111	5	29
30742789	1	0
5855863	89	121
13323950	1	14
16901097	0	1
29042425	0	0
9980082	31	6
7072634	33	36
9006910	4	0
10851579	1	12
32132340	195	136
9434019	0	0
31464917	3	6
15348976	2	0
22589318	7	0
19048687	0	0
5186170	76	6
28824196	0	0
12086275	2	7
12498043	3	5
13839259	2	0
29440516	3	2
34626916	0	2
10872189	16	47
11997264	0	0
15419843	0	0
9933878	15	7
16199878	1	2
34483894	0	1
25669642	5	6
12019266	4	77
4929392	7	8
11968268	29	73
13758231	382	293
13865842	0	2
10016316	3	2
13192932	4	1
17650780	2	89
13913041	11	1
33664614	0	0
12753698	93	88
12764750	3	0
19470256	178	23
10898855	1	0
18421159	1	0
22864061	0	2
7863439	52	75
17730721	1	2
20577238	0	0
13792494	510	161
10062080	5	11
30714836	0	0
21800146	15	12
29594113	0	0
32287932	3	1
13070295	19	1
31670054	1	0
6399365	0	0
14757057	0	0
22111414	0	0
25540459	0	0
10507209	0	9
13291978	0	0
13271528	0	0
7351656	20	1
5225864	31	4
7087822	7	5
12009823	0	1
16298312	1	1
29542963	0	0
14281930	43	8
11813576	38	6
15807831	6	0
17754775	2	0
28132636	11	2
24964744	124	30
25496536	0	0
31047571	3	1
30821895	1	0
7383111	17	5
11539612	65	1
16175423	0	6
27960258	3	3
11154010	91	22
11616291	3	0
13820664	11	1
30545941	4	0
30068887	1	4
20672374	2	1
14216394	12	76
12876047	4	2
6460722	489	325
5330267	155	20
29938957	2	0
13100973	0	0
5088780	11	161
5917023	12	1
12502995	4	1
8398997	50	47
6000090	28	23
12514787	0	5
12450255	9	18
10257175	1	5
30456113	3	0
13122280	89	27
6619439	6	4
12443438	15	9
11903105	10	3
30281216	1	1
21126589	1	0
35180026	1	0
10999362	2	12
13722317	44	13
13201354	2	0
17510437	3	10
21423262	21	11
28735108	1	1
13656126	2	1
8621225	28	3
14321839	3	0
18909181	6	2
5027598	13	9
15637385	9	5
8341035	21	2
5512127	1	28
14038105	2	0
18272815	1	0
20045293	3	29
11979382	4	2
33156138	2	0
8610301	6	38
19673212	3	0
26932409	0	0
20365138	9	0
6516027	349	252
21610897	1	0
15686211	9	11
24254420	31	4
22501526	3	1
4800098	6	0
28183414	0	1
22704194	1	0
23951801	0	0
5490254	1	6
6279859	15	30
11403364	5	15
18580231	1	3
31884151	25	3
5006221	31	87
17237662	3	6
19589536	53	80
8218957	0	0
31513481	4	0
25224265	0	0
26858045	1	1
18002746	10	1
8527818	2	1
28274647	1	0
9157950	1	0
6823767	38	12
5845124	18	4
8200480	198	29
13490249	10	9
25175287	2	1
15835160	0	0
15984980	28	11
14750374	3	0
4769577	9	32
8170786	36	101
13788377	6	1
14914887	3	1
34969757	1	2
15843077	18	2
8049239	3	0
32012303	0	0
16589040	0	1
7086003	3	3
14316188	1	12
33825966	0	0
6211749	35	21
11280688	0	1
4712594	38	12
7943823	0	0
20576446	181	55
12161523	1	0
17978806	35	35
